제목,가격,평점,재고여부,출처페이지,수집시각
A Light in the Attic,51.77,Three,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.653577+00:00
Tipping the Velvet,53.74,One,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.654175+00:00
Soumission,50.1,One,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.656169+00:00
Sharp Objects,47.82,Four,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.656655+00:00
Sapiens: A Brief History of Humankind,54.23,Five,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.657056+00:00
The Requiem Red,22.65,One,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.657425+00:00
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.657884+00:00
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.658416+00:00
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.658979+00:00
The Black Maria,52.15,One,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.659381+00:00
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.659765+00:00
Shakespeare's Sonnets,20.66,Four,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.660109+00:00
Set Me Free,17.46,Five,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.660451+00:00
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.660804+00:00
Rip it Up and Start Again,35.02,Five,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.661143+00:00
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.661477+00:00
Olio,23.88,One,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.661817+00:00
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,In stock,https://books.toscrape.com/catalogue/page-1.html,2026-09-19T10:23:06.662225+00:00
